OverallRating,Comment,FeedbackCategory,Subcategory
Very Satisfied,"Wish entire book orders could arrive at the same time. I get partial orders for some kids, and it’s hard to send fulfilled orders home with just some kids, and partial orders with others. I try to keep partial orders until I have all their books, but have to refer to the order history online to see if their order is complete or if there are more coming.  Takes a bit more time to,cross check the orders.",All Other,Item Missing/Incorrect/Partial Order Received
Neutral,I was wondering if you ship to homes instead?,All Other,Ship to Home
Very Satisfied,Do you still offer free shipping to home?,All Other,Ship to Home
Very Satisfied,"Wish SBC would reinstate delivery to home, again.  It would make this book fairy's life easier, but I can work it out with the teachers.",All Other,Ship to Home
Very Disappointed,"The system would not allow me to place and order and ship to my home.  The children are in the middle of a nasty divorce, and I would like to have the books shipped to my home.  If the father receives the books, he will not return them.  Additionally, I order other items for Christmas and Birthdays, as well as for other grandchildren.  I would like those to be a surprise.  The system should allow me the option to ship to my home and pay for it.",All Other,Ship to Home
Very Satisfied,Wish it would let me order for my 8th grader and just send them home,All Other,Ship to Home
Satisfied,I would like to have the option to ship my order/books to my home address.,All Other,Ship to Home
Very Disappointed,I choose to have our orders come to my home because we are within a high school that does not give us our mail.,All Other,Ship to Home
Satisfied,"It's not clear when we will receive the book? With online orders, I like to know when to check back in in case something gets lost.",All Other,WISMO
Satisfied,Tracking #’s would be appreciated,All Other,WISMO
Satisfied,The only thing I didn't like was that it did not let me know what the delivery time would look like.,All Other,WISMO
Very Satisfied,Trying to make a payment,All Other,General/Unspecified
Very Satisfied,I don't like the online necessity of paying sales tax on book purchases.,All Other,Tax
Disappointed, I have a credit that I can't use.,All Other,General/Unspecified
Neutral,Why is tax charged for a school order?,All Other,Tax
Very Disappointed,My shipping and payment page does not display the payment method or information necessary to make a payment.,All Other,General/Unspecified
Neutral,"Thank you for my latest order, we love the books! I was told that once the order ships I would receive an e-mail and could then call to have the tax removed. That has not yet happened.",All Other,Tax
Very Satisfied,A parent wrote a check to Scholastic while the rest of the parents sent cash.  I paid for everything on my debit card.  This means I need to contact the parent who wrote a check to you and ask them to rewrite it.,All Other,General/Unspecified
Very Disappointed,I s till do not know how to submit an order with money brought to me by a student that is in cash - I have to pay out of pocket up front for this?,All Other,General/Unspecified
Disappointed, where to add funds to my childrens account for shopping at their book fair in person.  It would be nice to have a feature that would provide a link for family members to fund their book shopping account as well.,All Other,E-Wallet
Disappointed,It is hard to find the electronic wallet to add additional money.,All Other,E-Wallet
Satisfied,Also tough to gain access to the visa funds I had from last year.,All Other,General/Unspecified
Neutral, you have to pay tax.,All Other,Tax
Satisfied,I wish you would not charge tax (just have it already added in the book price). Also I miss getting a receipt with my order.,All Other,Tax
Satisfied,Where do I mail my payment,All Other,General/Unspecified
Neutral,Plus all four kindergarten teachers had a bill for the whole school year and our PTO had paid it.  I gave you scores based on last year.,All Other,General/Unspecified
Satisfied,I need a tax exempt button,All Other,Tax
Very Satisfied,"I was a little surprised to find that I could not look up the amount in my child's E-wallet without the help of Ronda, I needed to make absolute sure that my daughter wouldn't be showing up on book fair day, unable to purchase anything with her class.      Other than the ability to check the amount in your child's E-wallet easily",All Other,General/Unspecified
Satisfied,I've struggled for years with the cc payment method on this site. Mostly around saving a cc/adding a new cc.,All Other,General/Unspecified
Satisfied,I had to put in my card info a couple of times before it would accept it I had to enter things in a certain order.,All Other,General/Unspecified
Satisfied,Couldn't figure out how to order the free book,All Other,General/Unspecified
Very Satisfied,"I do not see my Bonus Points for Teacher Referrals:  Briana Snyder  Alex Castellanos  Also, how do get the 300 bonus points for ordering before September 30th.  Please advise.",All Other,General/Unspecified
Disappointed,entered the READS promo code for free book and got no credit or option to pick a $5 book.  Forget it.,All Other,General/Unspecified
Satisfied,Lost all my Bonus Points.  sad...,All Other,General/Unspecified
Neutral, children should have had the ability to take advantage of the READ free book code. But only one child was able to select a free book.,All Other,READS
Satisfied,Discount code did not work,All Other,General/Unspecified
Satisfied,A little difficult to apply a coupon and use it- but I figured it out.,All Other,General/Unspecified
Very Satisfied, I DO wish that when I chose my free $5.00 book that I would have been given the option to choose the book,All Other,General/Unspecified
Neutral,I couldn't find the place to select my $10 in free books :(,All Other,General/Unspecified
Neutral,Promo code did not work for the $25.00 order and get a free $5 book. ,All Other,General/Unspecified
Very Disappointed,was trying to find my Bonus Points #.    I  want to know IF I can transfer my balance of points to another Teacher  at a different school.  I am retiring & dont need them.,All Other,General/Unspecified
Satisfied,I wanted to use bonus points to buy a book but the system charged instead of using the bonus points. I ended up deleting the book.  Hopefully I can order it with the bonus points next month.,All Other,General/Unspecified
Satisfied,"I entered the code on the header (READS), but when I tried to check out it says the code has expired.",All Other,READS
Neutral,"the promotion code,advertised all over the site is not working",All Other,General/Unspecified
Very Satisfied,Would not let me enter free book selection on a $176.00 order.,All Other,General/Unspecified
Very Disappointed,"If you are going to advertise a promotion like READS, you should take it down if it's no longer available, which is the message that appears in my cart when I am ordering well over the required amount.   You're being very misleading in your advertising.   But for supporting our teacher through the promotion you are giving to teachers whose parents place orders before September 30th, this experience makes me not want to shop from Scholastic again.",All Other,READS
Very Disappointed,  What are thee bonus points for?,All Other,General/Unspecified
Very Satisfied,"Just wondering if parents could be prompted to select a free book when their order is over $25.  I have a family that earned a free book, but didn't make a selection.  It would be nice if they could be prompted for these rewards just like teacher's have on their checkout page.",All Other,General/Unspecified
Very Disappointed,signing up i did not get points or neither did the person who shared. ,All Other,General/Unspecified
Very Satisfied,"I was trying to use the READS code for the free book for several weeks and it kept saying ""expired"" but it wasn't... Finally got it to work! Thanks for the free book.",All Other,READS
Very Disappointed,I have just placed my last order with your company.  You failed to honor your advertised rewards for teachers when students place orders.  ,All Other,General/Unspecified
Disappointed,It would not let me spend the $5 in free books. ,All Other,General/Unspecified
Very Disappointed,I am frankly disgusted by Scholastic's false promises of free books for teachers.  I am far to busy to waste my time on nonsense.  I will inform my classroom parents that Scholastic has repeatedly failed to uphold its promises to reward teachers with free books for student purchase,All Other,General/Unspecified
Satisfied,I wish there are more and better options in the Bonus Catalog.,All Other,General/Unspecified
Very Satisfied,Love all the opportunites to earn extra points and books!  I like when you send birthday or bonus in the summer.,All Other,General/Unspecified
Neutral,Code READS is not working. About to just not bother and not order these books.,All Other,READS
Satisfied,Yesterday I submitted a student online order and mailed a student order and today I had another student online order. Since my orders were submitted on different days I was not able to receive any bonus points or rewards. Is there any way to get those credits?,All Other,General/Unspecified
Neutral,"I entered a discount code as offered and instructed, but it did not take.",All Other,General/Unspecified
Disappointed,"Also, I lose out on bonus points and book picks!",All Other,General/Unspecified
Satisfied,"When used the promotion ""READS"" to get a free book for an order over $25, I was unable",All Other,General/Unspecified
Satisfied,"It was difficult to find a ""free book"".  The one I chose for $5, the website said was not eligible.  Don't know why it wasn't.",All Other,General/Unspecified
Satisfied,It wouldn't let me enter my $5 free book.,All Other,General/Unspecified
Very Disappointed,I couldnt use the READS coupon code.,All Other,READS
Neutral,Trying to apply discounts.,All Other,General/Unspecified
Very Disappointed,The code says expired. ,All Other,General/Unspecified
Very Satisfied,The READS coupon didn’t work :(,All Other,READS
Neutral,Always have a little trouble submitting my free book selection,All Other,General/Unspecified
Very Satisfied,I didn’t get the promo code to work,All Other,General/Unspecified
Satisfied,The coupon code for a free book expired before the book order is even due. That’s frustrating!,All Other,General/Unspecified
Satisfied,The $10 to spend right now window was not available,All Other,General/Unspecified
Satisfied,My students really like the paper flyers but we have not received any this school year.  Will they be sent in the future?,All Other,Kits
Neutral, It would be nice to have received physical copies of flyers.,All Other,Kits
Neutral,Looking for a connection to order flyers  sent to my school.  In previous years they were automatically sent to my school.  This year they  were not. I would like flyers for Early Childhood and Firefly.,All Other,Kits
Satisfied,I didn't receive my October catalogs.  So I'm requesting them now.  I figured they would be sent out automatically each month!!!,All Other,Kits
Very Satisfied,I am not sure that I fixed my problem.  I have not been receiving flyers this year. in  they will start coming!,All Other,Kits
Satisfied,"I would love the flyers to be sent out again. It is a great way to help those purchase books, by seeing the item.",All Other,Kits
Very Satisfied,"I still order books to use with students, but I don't need you to send me class flyers.  Is there a way for me to do this?",All Other,Kits
Satisfied, I do not need any flyers right now and need to stop them from being mailed to me at my school.,All Other,Kits
Satisfied,Need to make sure that I will be receiving my flyers at my site this year for each month. They did not come directly to me but came in bundles with other schools from the district in it. I often missed the flyers altogether because they never arrived at our site and I would have to call scholastic to send the flyers directly to me and that took a few days for them to arrive.,All Other,Kits
Satisfied,She has half the day in spanish. I wish that the Leo flier was more often.  I think you should market your Leo flier to teachers that are DLI.,All Other,Kits
Very Satisfied,"I haven't tried to get those catalogues yet, so I'm not sure if I'll be successful.",All Other,Kits
Very Disappointed, I just want flyers to send to my students and have no way to access it or request flyers.,All Other,Kits
Satisfied,"Since the pandemic, I have not been getting the student flyers sent to school.  I REALLY want them to generate more orders.  PLEASE send them to school. still have not received the paper flyers.",All Other,Kits
Satisfied,I want to know how to get flyers,All Other,Kits
Very Satisfied,"hi just got the flyers i requested but I guess I didn't ask for the Lucky flyers or any that would be good for second graders.    In the future could you please send me any flyers See Saw, Lucky, you can be a reader, that  second graders would order from...  Thanks   ",All Other,Kits
Very Disappointed,stop producing sooooo many flyers that I simply recycle. Stop!!!!!,All Other,Kits
Neutral,I still appreciate the tactile sense of browsing the printed Scholastic book order flyer.,All Other,Kits
Disappointed,"I simply wanted to change the number of fliers I'm receiving since I have a larger class this year.  I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers, and select catalogs. There I find I need to order specific catalogs for a one-time order. ",All Other,Kits
Satisfied,I have asked for a 4th grade flyer but have not received one- most of my parents need the paper flyer,All Other,Kits
Neutral,I need to have flyers sent to me as I never got any and would like to make a class order. I can't find how to have flyers sent ,All Other,Kits
Satisfied,"Some item numbers didn’t match the flyers, but overall,",All Other,Kits
Neutral,the number are not the same as in the flyer.,All Other,Kits
Satisfied,"I was looking for a way to request paper, book order catalogs to hand out to my students.",All Other,Kits
Disappointed,I have now filled out the request for paper flyers twice. Please follow through and send them soon.,All Other,Kits
Very Disappointed,"The flyer from the teacher, does NOT match on-line.",All Other,Kits
Satisfied,I'm disappointed by the quality of some of the titles  I think the selection has decreased over the past few years.,All Other,Products Offered
Satisfied,Just a low stock issue for one book the child wanted. I think you should take low stock out if we can't order them.,All Other,Product Inventory
Neutral,Please get more classic chapter books!,All Other,Products Offered
Satisfied,a couple books I wanted were not available as individual books and were only available as a set and we have most of the set.,All Other,Single Titles vs Bundles
Very Satisfied,A book is out of stock.,All Other,Product Inventory
Very Disappointed,"I wanted to buy some Christian books in addition to secular ones.  When I typed in ""Jesus"" into the search bar, there was not one result.  I typed in ""God.""  Nothing.  If you can't have one book about Jesus, I can't buy from you and I will be sure to let all my friends know.  Interestingly there are results for search words like ""gay"" and ""transgender.""",All Other,Products Offered
Satisfied,Out of stock items should be able to be ordered and then I can be updated when they are available and shipped.  Not telling me to check back later.,All Other,Product Inventory
Satisfied,It would be helpful if we could see the titles of all books that are in book bundles before placing the order. I did not order the unicorn diaries bundle today because I couldn't read what titles were included.,All Other,Product Info/Description
Satisfied,Super disappointed the shark book is out of stock.  I did not see any information as to when it might be available again.  Super sad 5 year old.,All Other,Product Inventory
Disappointed,I struggling with ordering simply because there isn't enough variety.  I'd like to see more stable books offered instead of bandwagon books that don't last the test of time.,All Other,Products Offered
Satisfied,"One of the sets of books that a student wanted to order is out of stock. I will check back later. It is the Who would win, rumble 6 pack. Item number 42G1 for $22.",All Other,Product Inventory
Neutral,"I struggled with the bundled options, its not easy to see details about each book.  Picture shows 4 books when there are 5- its a bit confusing.",All Other,Product Info/Description
Satisfied,Would perfer a long list (with pictures) of the books you offer. I kept seeing the same 15 books. Sure there are more.,All Other,Product Info/Description
Very Disappointed,Your book selections are very political.  I just want to get my kid a story book.,All Other,Products Offered
Very Satisfied,"Kindly watch the woke content.  You have a duty to provide wholesome, unbiased literature to our children.  It's a powerful position to be in, please respect it.",All Other,Products Offered
Very Disappointed,"PS, not buying any books on here until you provide more unifying, less divisive subject matter.",All Other,Products Offered
Very Disappointed,"Too much anti-American content or divisive material on here.  I could not find any material on pride in country, being a responsible American citizen, or Founding principles.  If Scholastic cannot expand its subject matter, I’d rather not receive this newsletter.     Do better.",All Other,Products Offered
Neutral,Not all books had a description of the story,All Other,Product Info/Description
Satisfied,"Just that a book was ""out of stock""",All Other,Product Inventory
Neutral,"while the selection has decreased. You are also offering books in packs, but not offering the titles separately.  I won't buy the pack when I already have most titles.",All Other,Single Titles vs Bundles
Neutral,"It would also be wonderful if there were more books available with a Christian theme, especially at Christmas and Easter.",All Other,Product Inventory
Neutral,"It's frustrating to not be able to get the next book in a series. For example, the Wings of Fire. My daughter read the first one to see if she liked it but we don't want the set because we already have the first one. We just want the second book, but will have to get it somewhere else.  Thanks",All Other,Single Titles vs Bundles
Very Satisfied,"I appreciate the opportunity to offer my students a variety of books to purchase.  I would like to see ""small group"" sets of books for my new grade level to purchase.",All Other,Products Offered
Neutral,I would prefer more individual books instead of a pack of several.,All Other,Single Titles vs Bundles
Neutral,I wanted to see more books beyond my child's grade.  The options were confusing to figure out and looked like that same books over and over again.,All Other,Products Offered
Satisfied,Wondered what to do about out of stock orders. ,All Other,Product Inventory
Satisfied,"The book that I wanted to order is out of stock.  No details as to when it will be back in stock.  Usually, companies would send you information when the item is back in stock.  Disappointed.",All Other,Product Inventory
Neutral,"Overall, the inventory sometimes feels limited on this site.",All Other,Products Offered
Very Satisfied,would like to see individual book options if they are also in a pack: otherwise we end up with duplicates. thanks!,All Other,Single Titles vs Bundles
Satisfied,I would love to see Reading Group Book sets for lower GRL levels A-D.,All Other,Products Offered
Very Satisfied,I couldn't complete my order because one of the student order was out of stock and I had to contact the parent to see if they wanted to change their order or get reimbursed.,All Other,Product Inventory
Neutral,"Just hard to find something that I think she will enjoy, thats at her level. Shes 8 and a good reader but many books seem to young for her (picture books) and she doesn't enjoy graphic novels. I only want  to buy books that will get reread,  ",All Other,Products Offered
Satisfied,When selecting  books it would be nice to see the covers and authors.,All Other,Product Info/Description
Very Satisfied,For holidays I like to purchase my students a book such as Spookley the Square Pumpkin or Twas the Night Before Christmas.  The last few years many of these popular books are only offered in book bundles instead of individually.  Could you please also offer books individually so that we may purchase these classics for our entire class.,All Other,Single Titles vs Bundles
Satisfied,A book that my child wanted was out of stock,All Other,Product Inventory
Neutral,the suggestions of books are very small,All Other,Products Offered
Satisfied,"I'm always checking back on the site for new reading packs in our spanish classrooms.  We need more ""ready to read"" books for grades TK-3rd.",All Other,Products Offered
Neutral," One of the items he ordered is apparently out of stock.  Instead of a backorder sheet of stickers, it won't even let me place that order.  ",All Other,Product Inventory
Neutral,selection are pretty sparse,All Other,Products Offered
Disappointed,You were out of stock on over $80 worth of books towards my order. ,All Other,Product Inventory
Disappointed,"I have been a member of scholastic for over 30 years. The quality of reading of your product has gone down, in my opinion. There are not enough classic stories, too many graphic novels, and silly stories (Dog man, etc..) and these kind of books do not make my students smarter readers. I know these are the type of books that sell, but , in my opinion, they lower Scholastic's standards.",All Other,Products Offered
Satisfied,"We really wanted to purchase individual titles of the Owl Diaries, but they were not available.",All Other,Single Titles vs Bundles
Neutral,What my child wanted was out of stock,All Other,Product Inventory
Satisfied,Not enough non-fiction or STEM related books selections,All Other,Products Offered
Satisfied,I wish that scholastic carried,All Other,Products Offered
Neutral,I couldn't find some books my daughter wanted.,All Other,Product Inventory
Satisfied,Would like to order individual books from the black is beautiful 5 pack,All Other,Single Titles vs Bundles
Satisfied,I was interested in many of the book packs but already own 1 or 2 in most of them and wish the titles that you were interested in were available to purchase on their own.,All Other,Single Titles vs Bundles
Disappointed,Get this woke crap off your site. The more woke stuff there is the less I buy. Shame.,All Other,Products Offered
Very Satisfied,"Biggest challenge was figuring out which books were in a boxed series. I was shopping for the Magic Tree House series and needed a specific ""next"" box set. I couldn't easily distinguish which set was the correct one for me to select",All Other,Product Info/Description
Neutral,"For books that are part of a series, I wish you would say which number it is. As an example, I know my son likes The Bad Guys, but I don't know which numbers you have for sale.",All Other,Product Info/Description
Satisfied,Not all books are available that are available on the regular of scholastic,All Other,Product Inventory
Very Disappointed, book clubs has a lot fewer options.  ended up buying at amazon.,All Other,Products Offered
Very Satisfied,Love the books. Love the service.,Thanks/Praise,Thanks/Praise
Neutral,This was a great experience and so easy to use.,Thanks/Praise,Thanks/Praise
Very Satisfied,Love shopping for books for my class.  Easy website to use.,Thanks/Praise,Thanks/Praise
Very Satisfied,Thank you!,Thanks/Praise,Thanks/Praise
Very Satisfied,Very great program!,Thanks/Praise,Thanks/Praise
Very Satisfied,Thank you.,Thanks/Praise,Thanks/Praise
Neutral,"I really appreciate the opportunity to help our teachers in the classroom while also finding new books and other products for my kids, often at prices much better than through other sellers and/or available before they are available elsewhere.",Thanks/Praise,Thanks/Praise
Neutral,Well built site that is very user friendly... Thank you!!,Thanks/Praise,Thanks/Praise
Satisfied,I used the LIVE CHAT feature for the first time.  Amanda was VERY helpful and was able to clear up my problem very quickly.  Much appreciated.,Thanks/Praise,Thanks/Praise
Very Satisfied,Thank you,Thanks/Praise,Thanks/Praise
Very Satisfied,"I have loved scholastic since I was a child, and love it even more now as an educator.",Thanks/Praise,Thanks/Praise
Very Satisfied,Website very user friendly.,Thanks/Praise,Thanks/Praise
Very Satisfied,Love your books and the prices.,Thanks/Praise,Thanks/Praise
Very Satisfied,first time ordering super easy and fast.,Thanks/Praise,Thanks/Praise
Neutral,"Site was super easy to use. The books my child circled on the flyer were easy to find and access on the site and add to the cart. Payment and checkout process was also seamless. Super easy, thank you so much.",Thanks/Praise,Thanks/Praise
Very Satisfied,So wonderfully easy to do :) thank you,Thanks/Praise,Thanks/Praise
Satisfied,29 years with Scholastic!  It's a great investment every year! Thank you for the selection!,Thanks/Praise,Thanks/Praise
Very Satisfied,Excellent service and easy to use & navigate!,Thanks/Praise,Thanks/Praise
Very Satisfied,You guys are the best ever .,Thanks/Praise,Thanks/Praise
Very Satisfied,We love scholastic books.,Thanks/Praise,Thanks/Praise
Very Satisfied,Great website. My daughter and I have a great time looking for books for her.,Thanks/Praise,Thanks/Praise
Very Satisfied,The website is so much easier to navigate than before.,Thanks/Praise,Thanks/Praise
Very Satisfied,I was just giving reviews.  Love this program.,Thanks/Praise,Thanks/Praise
Very Satisfied,"i love scholastic, the joy of getting my books in class sparked my love of reading and im happy to pass that love on to my child!",Thanks/Praise,Thanks/Praise
Very Satisfied,user friendly,Thanks/Praise,Thanks/Praise
Very Satisfied,Thank you for always offering books at reasonable prices!,Thanks/Praise,Thanks/Praise
Very Satisfied,Easy peasy!,Thanks/Praise,Thanks/Praise
Very Satisfied,Always an excellent experience,Thanks/Praise,Thanks/Praise
Very Satisfied,Really appreciate the service you offer children.,Thanks/Praise,Thanks/Praise
Very Satisfied,Thank you!!!,Thanks/Praise,Thanks/Praise
Neutral,website is user friendly and easy to use.  Found what I was looking for and made my purchase. Simple and easy.,Thanks/Praise,Thanks/Praise
Very Satisfied,super easy to navigate,Thanks/Praise,Thanks/Praise
Satisfied,The representative that assisted me was very helpful to complete my order.,Thanks/Praise,Thanks/Praise
Very Satisfied,I love scholastic as a parent and as a teacher,Thanks/Praise,Thanks/Praise
Very Satisfied,easy and detailed site!,Thanks/Praise,Thanks/Praise
Very Satisfied,"I am a grandmother and am delighted to be able to buy books for my granddaughter and her class!    I loved Scholastic books as a child, as a mom and now as a grandma.  :)",Thanks/Praise,Thanks/Praise
Very Satisfied,Very fast and efficient. Love shopping here for my daughter! Lots of great options and pricing.,Thanks/Praise,Thanks/Praise
Neutral,it was a pleasure to visit the website.,Thanks/Praise,Thanks/Praise
Very Satisfied,easy,Thanks/Praise,Thanks/Praise
Very Satisfied,students really love it when they get their books.,Thanks/Praise,Thanks/Praise
Neutral,All were good,Thanks/Praise,Thanks/Praise
Very Satisfied,"Wonderful bundles and prices, thank you!",Thanks/Praise,Thanks/Praise
Very Satisfied,Great to be able to easily enter the code from the paper classroom flyer,Thanks/Praise,Thanks/Praise
Very Satisfied,Very easy to use.,Thanks/Praise,Thanks/Praise
Very Satisfied,My students enjoy the book selection and i enjoy the ease of ordering and the digital platform.,Thanks/Praise,Thanks/Praise
Very Satisfied,Easy to use and search for titles.,Thanks/Praise,Thanks/Praise
Very Satisfied,Reading gonna helps your child to be smarter.,Thanks/Praise,Thanks/Praise
Neutral,Easy and straightforward,Thanks/Praise,Thanks/Praise
Neutral,I love scholastic books!,Thanks/Praise,Thanks/Praise
Very Satisfied,I have enjoyed Scholastic book orders since I was a child myself.  I have been ordering for 31 years as a teacher.,Thanks/Praise,Thanks/Praise
Very Satisfied,Very easy to navigate. :),Thanks/Praise,Thanks/Praise
Neutral,I love this site. It's so convenient.,Thanks/Praise,Thanks/Praise
Neutral,There is always a good selection of books for any reading level.,Thanks/Praise,Thanks/Praise
Satisfied,"thank you for all the great prices, bonuses, shipping :)",Thanks/Praise,Thanks/Praise
Neutral,great website. always a deal. love the website.,Thanks/Praise,Thanks/Praise
Very Satisfied,THANK YOU!,Thanks/Praise,Thanks/Praise
Very Satisfied,Very easy to use.,Thanks/Praise,Thanks/Praise
Very Satisfied,I have used Scholastic Book Clubs when I taught before and I absolutely loved the deals and freebies!,Thanks/Praise,Thanks/Praise
Very Satisfied,I am so excited to get  books for my kids:),Thanks/Praise,Thanks/Praise
Neutral,Very easy using code from the flyer that preschool sent home,Thanks/Praise,Thanks/Praise
Very Satisfied,Amazing,Thanks/Praise,Thanks/Praise
Very Satisfied,Keep up the great work!,Thanks/Praise,Thanks/Praise
Very Satisfied,love the online ordering for parents    keeps it so simple,Thanks/Praise,Thanks/Praise
Very Satisfied,very user friendly and easy to navigate!,Thanks/Praise,Thanks/Praise
Very Satisfied,happy you except Paypal. Makes it very user friendly.,Thanks/Praise,Thanks/Praise
Very Satisfied,WE LOVE YOUR BOOKS!,Thanks/Praise,Thanks/Praise
Very Satisfied,Ordering was fast and easy.  Thank you!,Thanks/Praise,Thanks/Praise
Very Satisfied,Site is easy to navigate.,Thanks/Praise,Thanks/Praise
Very Satisfied,Very easy to order books,Thanks/Praise,Thanks/Praise
Very Satisfied,Love this program!!,Thanks/Praise,Thanks/Praise
Very Satisfied,Love Scholastic!,Thanks/Praise,Thanks/Praise
Very Satisfied,East experience,Thanks/Praise,Thanks/Praise
Very Satisfied,I love your site! So easy to use.,Thanks/Praise,Thanks/Praise
Neutral,Purchasing the books I wanted was easy and quick.,Thanks/Praise,Thanks/Praise
Very Satisfied,easy,Thanks/Praise,Thanks/Praise
Very Satisfied,Very easy to use site! Love how we could shop the flyer so easily!,Thanks/Praise,Thanks/Praise
Very Satisfied,Love the updates made to this site. Easy to navigate and you have  created a more interesting site to peruse.,Thanks/Praise,Thanks/Praise
Very Satisfied,"I love all the books you have, and very affordable.",Thanks/Praise,Thanks/Praise
Very Satisfied,"Worked great, as usual!",Thanks/Praise,Thanks/Praise
